code,sectionId,recordTime,quota,enrol,wait
RMBI1010,1,0,50,0,0
RMBI1010,1,1,50,0,0
RMBI1010,1,2,50,1,0
RMBI1010,1,3,50,1,0
RMBI1010,1,4,50,2,0
RMBI1010,1,5,50,2,0
RMBI1010,1,6,50,4,0
RMBI1010,1,7,50,4,0
RMBI1010,1,8,50,6,0
RMBI1010,1,9,50,6,0
RMBI1010,1,10,50,6,0
RMBI1010,1,11,50,6,0
RMBI1010,1,12,50,7,0
RMBI1010,1,13,50,7,0
RMBI1010,1,14,50,7,0
RMBI1010,1,15,50,8,0
RMBI1010,1,16,50,8,0
RMBI1010,1,17,50,8,0
RMBI1010,1,23,50,9,0
RMBI1010,1,24,50,9,0
RMBI1010,1,25,50,9,0
RMBI1010,1,26,50,9,0
RMBI1010,1,27,50,9,0
RMBI1010,1,28,50,9,0
RMBI1010,1,29,50,9,0
RMBI1010,1,30,50,9,0
RMBI1010,1,31,50,9,0
RMBI1010,1,32,50,9,0
RMBI1010,1,33,50,9,0
RMBI1010,1,34,50,9,0
RMBI1010,1,35,50,9,0
RMBI1010,1,36,50,9,0
RMBI1010,1,37,50,9,0
RMBI1010,1,38,50,9,0
RMBI1010,1,39,50,9,0
RMBI1010,1,40,50,9,0
RMBI1010,1,41,50,9,0
RMBI1010,1,42,50,9,0
RMBI1010,1,43,50,9,0
RMBI1010,1,44,50,9,0
RMBI1010,1,45,50,9,0
RMBI1010,1,49,50,9,0
RMBI1010,1,50,50,10,0
RMBI1010,1,51,50,10,0
RMBI1010,1,52,50,11,0
RMBI1010,1,53,50,11,0
RMBI1010,1,54,50,12,0
RMBI1010,1,55,50,13,0
RMBI1010,1,56,50,14,0
RMBI1010,1,57,50,14,0
RMBI1010,1,62,50,31,0
RMBI1010,1,63,50,33,0
RMBI1010,1,64,50,41,0
RMBI1010,1,65,50,41,0
RMBI1010,1,66,50,43,0
RMBI1010,1,67,50,45,3
RMBI1010,1,68,50,46,1
RMBI1010,1,69,50,46,2
RMBI1010,1,70,50,48,3
RMBI1010,1,71,50,48,3
RMBI1010,1,72,50,48,5
RMBI1010,1,74,50,48,6
RMBI1010,1,75,50,48,6
RMBI1010,1,76,50,48,6
RMBI1010,1,77,50,48,6
RMBI1010,1,78,50,48,6
RMBI1010,1,79,50,48,6
RMBI1010,1,80,50,48,6
RMBI1010,1,81,50,48,6
RMBI1010,1,82,50,48,6
RMBI1010,1,83,50,48,6
RMBI1010,1,84,50,48,6
RMBI1010,1,85,50,48,8
RMBI1010,1,86,50,48,8
RMBI1010,1,87,50,48,8
RMBI1010,1,88,50,48,8
RMBI1010,1,89,50,48,8
RMBI1010,1,90,50,48,8
RMBI1010,1,91,50,48,8
RMBI1010,1,92,50,48,8
RMBI1010,1,93,50,48,8
RMBI1010,1,97,50,48,8
RMBI1010,1,98,50,49,7
